,Date,Product,Category,Sales
0,2021-06-22,Pixelophone_XL,Pixel,59.0
1,2021-06-23,Pixelophone_XL,Pixel,123.0
2,2021-06-24,Pixelophone_XL,Pixel,105.0
3,2021-06-25,Pixelophone_XL,Pixel,0.0
4,2021-06-26,Pixelophone_XL,Pixel,60.0
5,2021-06-27,Pixelophone_XL,Pixel,6.0
6,2021-06-28,Pixelophone_XL,Pixel,9.0
7,2021-06-29,Pixelophone_XL,Pixel,35.0
8,2021-06-30,Pixelophone_XL,Pixel,22.0
9,2021-07-01,Pixelophone_XL,Pixel,132.0
10,2021-07-02,Pixelophone_XL,Pixel,81.0
11,2021-07-03,Pixelophone_XL,Pixel,34.0
12,2021-07-04,Pixelophone_XL,Pixel,59.0
13,2021-07-05,Pixelophone_XL,Pixel,52.0
14,2021-07-06,Pixelophone_XL,Pixel,140.0
15,2021-07-07,Pixelophone_XL,Pixel,14.0
16,2021-07-08,Pixelophone_XL,Pixel,53.0
17,2021-07-09,Pixelophone_XL,Pixel,0.0
18,2021-07-10,Pixelophone_XL,Pixel,0.0
19,2021-07-11,Pixelophone_XL,Pixel,82.0
20,2021-07-12,Pixelophone_XL,Pixel,98.0
21,2021-07-13,Pixelophone_XL,Pixel,0.0
22,2021-07-14,Pixelophone_XL,Pixel,206.0
23,2021-07-15,Pixelophone_XL,Pixel,0.0
24,2021-07-16,Pixelophone_XL,Pixel,41.0
25,2021-07-17,Pixelophone_XL,Pixel,24.0
26,2021-07-18,Pixelophone_XL,Pixel,154.0
27,2021-07-19,Pixelophone_XL,Pixel,150.0
28,2021-07-20,Pixelophone_XL,Pixel,53.0
29,2021-07-21,Pixelophone_XL,Pixel,70.0
30,2021-07-22,Pixelophone_XL,Pixel,0.0
31,2021-07-23,Pixelophone_XL,Pixel,0.0
32,2021-07-24,Pixelophone_XL,Pixel,19.0
33,2021-07-25,Pixelophone_XL,Pixel,57.0
34,2021-07-26,Pixelophone_XL,Pixel,139.0
35,2021-07-27,Pixelophone_XL,Pixel,138.0
36,2021-07-28,Pixelophone_XL,Pixel,19.0
37,2021-07-29,Pixelophone_XL,Pixel,27.0
38,2021-07-30,Pixelophone_XL,Pixel,0.0
39,2021-07-31,Pixelophone_XL,Pixel,0.0
40,2021-08-01,Pixelophone_XL,Pixel,0.0
41,2021-08-02,Pixelophone_XL,Pixel,133.0
42,2021-08-03,Pixelophone_XL,Pixel,11.0
43,2021-08-04,Pixelophone_XL,Pixel,15.0
44,2021-08-05,Pixelophone_XL,Pixel,0.0
45,2021-08-06,Pixelophone_XL,Pixel,77.0
46,2021-08-07,Pixelophone_XL,Pixel,0.0
47,2021-08-08,Pixelophone_XL,Pixel,29.0
48,2021-08-09,Pixelophone_XL,Pixel,0.0
49,2021-08-10,Pixelophone_XL,Pixel,60.0
50,2021-08-11,Pixelophone_XL,Pixel,15.0
51,2021-08-12,Pixelophone_XL,Pixel,0.0
52,2021-08-13,Pixelophone_XL,Pixel,41.0
53,2021-08-14,Pixelophone_XL,Pixel,64.0
54,2021-08-15,Pixelophone_XL,Pixel,47.0
55,2021-08-16,Pixelophone_XL,Pixel,59.0
56,2021-08-17,Pixelophone_XL,Pixel,13.0
57,2021-08-18,Pixelophone_XL,Pixel,27.0
58,2021-08-19,Pixelophone_XL,Pixel,12.0
59,2021-08-20,Pixelophone_XL,Pixel,29.0
60,2021-08-21,Pixelophone_XL,Pixel,7.0
61,2021-08-22,Pixelophone_XL,Pixel,0.0
62,2021-08-23,Pixelophone_XL,Pixel,57.0
63,2021-08-24,Pixelophone_XL,Pixel,29.0
64,2021-08-25,Pixelophone_XL,Pixel,0.0
65,2021-08-26,Pixelophone_XL,Pixel,73.0
66,2021-08-27,Pixelophone_XL,Pixel,6.0
67,2021-08-28,Pixelophone_XL,Pixel,54.0
68,2021-08-29,Pixelophone_XL,Pixel,89.0
69,2021-08-30,Pixelophone_XL,Pixel,59.0
70,2021-08-31,Pixelophone_XL,Pixel,110.0
71,2021-09-01,Pixelophone_XL,Pixel,0.0
72,2021-09-02,Pixelophone_XL,Pixel,75.0
73,2021-09-03,Pixelophone_XL,Pixel,21.0
74,2021-09-04,Pixelophone_XL,Pixel,12.0
75,2021-09-05,Pixelophone_XL,Pixel,28.0
76,2021-09-06,Pixelophone_XL,Pixel,42.0
77,2021-09-07,Pixelophone_XL,Pixel,61.0
78,2021-09-08,Pixelophone_XL,Pixel,0.0
79,2021-09-09,Pixelophone_XL,Pixel,104.0
80,2021-09-10,Pixelophone_XL,Pixel,83.0
81,2021-09-11,Pixelophone_XL,Pixel,0.0
82,2021-09-12,Pixelophone_XL,Pixel,135.0
83,2021-09-13,Pixelophone_XL,Pixel,156.0
84,2021-09-14,Pixelophone_XL,Pixel,121.0
85,2021-09-15,Pixelophone_XL,Pixel,54.0
86,2021-09-16,Pixelophone_XL,Pixel,10.0
87,2021-09-17,Pixelophone_XL,Pixel,117.0
88,2021-09-18,Pixelophone_XL,Pixel,44.0
89,2021-09-19,Pixelophone_XL,Pixel,126.0
90,2021-09-20,Pixelophone_XL,Pixel,76.0
91,2021-09-21,Pixelophone_XL,Pixel,115.0
92,2021-09-22,Pixelophone_XL,Pixel,85.0
93,2021-09-23,Pixelophone_XL,Pixel,103.0
94,2021-09-24,Pixelophone_XL,Pixel,69.0
95,2021-09-25,Pixelophone_XL,Pixel,158.0
96,2021-09-26,Pixelophone_XL,Pixel,76.0
97,2021-09-27,Pixelophone_XL,Pixel,90.0
98,2021-09-28,Pixelophone_XL,Pixel,165.0
99,2021-09-29,Pixelophone_XL,Pixel,4.0
100,2021-09-30,Pixelophone_XL,Pixel,9.0
101,2021-10-01,Pixelophone_XL,Pixel,121.0
102,2021-10-02,Pixelophone_XL,Pixel,15.0
103,2021-10-03,Pixelophone_XL,Pixel,171.0
104,2021-10-04,Pixelophone_XL,Pixel,54.0
105,2021-10-05,Pixelophone_XL,Pixel,38.0
106,2021-10-06,Pixelophone_XL,Pixel,172.0
107,2021-10-07,Pixelophone_XL,Pixel,150.0
108,2021-10-08,Pixelophone_XL,Pixel,170.0
109,2021-10-09,Pixelophone_XL,Pixel,123.0
110,2021-10-10,Pixelophone_XL,Pixel,35.0
111,2021-10-11,Pixelophone_XL,Pixel,174.0
112,2021-10-12,Pixelophone_XL,Pixel,66.0
113,2021-10-13,Pixelophone_XL,Pixel,120.0
114,2021-10-14,Pixelophone_XL,Pixel,128.0
115,2021-10-15,Pixelophone_XL,Pixel,74.0
116,2021-10-16,Pixelophone_XL,Pixel,113.0
117,2021-10-17,Pixelophone_XL,Pixel,129.0
118,2021-10-18,Pixelophone_XL,Pixel,102.0
119,2021-10-19,Pixelophone_XL,Pixel,29.0
120,2021-10-20,Pixelophone_XL,Pixel,99.0
121,2021-10-21,Pixelophone_XL,Pixel,151.0
122,2021-10-22,Pixelophone_XL,Pixel,51.0
123,2021-10-23,Pixelophone_XL,Pixel,79.0
124,2021-10-24,Pixelophone_XL,Pixel,65.0
125,2021-10-25,Pixelophone_XL,Pixel,180.0
126,2021-10-26,Pixelophone_XL,Pixel,122.0
127,2021-10-27,Pixelophone_XL,Pixel,109.0
128,2021-10-28,Pixelophone_XL,Pixel,51.0
129,2021-10-29,Pixelophone_XL,Pixel,117.0
130,2021-10-30,Pixelophone_XL,Pixel,57.0
131,2021-10-31,Pixelophone_XL,Pixel,93.0
132,2021-11-01,Pixelophone_XL,Pixel,60.0
133,2021-11-02,Pixelophone_XL,Pixel,126.0
134,2021-11-03,Pixelophone_XL,Pixel,122.0
135,2021-11-04,Pixelophone_XL,Pixel,83.0
136,2021-11-05,Pixelophone_XL,Pixel,114.0
137,2021-11-06,Pixelophone_XL,Pixel,40.0
138,2021-11-07,Pixelophone_XL,Pixel,21.0
139,2021-11-08,Pixelophone_XL,Pixel,118.0
140,2021-11-09,Pixelophone_XL,Pixel,105.0
141,2021-11-10,Pixelophone_XL,Pixel,129.0
142,2021-11-11,Pixelophone_XL,Pixel,217.0
143,2021-11-12,Pixelophone_XL,Pixel,146.0
144,2021-11-13,Pixelophone_XL,Pixel,54.0
145,2021-11-14,Pixelophone_XL,Pixel,156.0
146,2021-11-15,Pixelophone_XL,Pixel,34.0
147,2021-11-16,Pixelophone_XL,Pixel,80.0
148,2021-11-17,Pixelophone_XL,Pixel,104.0
149,2021-11-18,Pixelophone_XL,Pixel,196.0
150,2021-11-19,Pixelophone_XL,Pixel,77.0
151,2021-11-20,Pixelophone_XL,Pixel,76.0
152,2021-11-21,Pixelophone_XL,Pixel,116.0
153,2021-11-22,Pixelophone_XL,Pixel,91.0
154,2021-11-23,Pixelophone_XL,Pixel,184.0
155,2021-11-24,Pixelophone_XL,Pixel,77.0
156,2021-11-25,Pixelophone_XL,Pixel,78.0
157,2021-11-26,Pixelophone_XL,Pixel,117.0
158,2021-11-27,Pixelophone_XL,Pixel,117.0
159,2021-11-28,Pixelophone_XL,Pixel,242.0
160,2021-11-29,Pixelophone_XL,Pixel,196.0
161,2021-11-30,Pixelophone_XL,Pixel,157.0
162,2021-12-01,Pixelophone_XL,Pixel,142.0
163,2021-12-02,Pixelophone_XL,Pixel,302.0
164,2021-12-03,Pixelophone_XL,Pixel,169.0
165,2021-12-04,Pixelophone_XL,Pixel,134.0
166,2021-12-05,Pixelophone_XL,Pixel,344.0
167,2021-12-06,Pixelophone_XL,Pixel,284.0
168,2021-12-07,Pixelophone_XL,Pixel,334.0
169,2021-12-08,Pixelophone_XL,Pixel,294.0
170,2021-12-09,Pixelophone_XL,Pixel,340.0
171,2021-12-10,Pixelophone_XL,Pixel,232.0
172,2021-12-11,Pixelophone_XL,Pixel,209.0
173,2021-12-12,Pixelophone_XL,Pixel,343.0
174,2021-12-13,Pixelophone_XL,Pixel,237.0
175,2021-12-14,Pixelophone_XL,Pixel,250.0
176,2021-12-15,Pixelophone_XL,Pixel,273.0
177,2021-12-16,Pixelophone_XL,Pixel,314.0
178,2021-12-17,Pixelophone_XL,Pixel,291.0
179,2021-12-18,Pixelophone_XL,Pixel,220.0
180,2021-12-19,Pixelophone_XL,Pixel,280.0
181,2021-12-20,Pixelophone_XL,Pixel,167.0
182,2021-12-21,Pixelophone_XL,Pixel,386.0
183,2021-12-22,Pixelophone_XL,Pixel,224.0
184,2021-12-23,Pixelophone_XL,Pixel,266.0
185,2021-12-24,Pixelophone_XL,Pixel,358.0
186,2021-12-25,Pixelophone_XL,Pixel,304.0
187,2021-12-26,Pixelophone_XL,Pixel,481.0
188,2021-12-27,Pixelophone_XL,Pixel,273.0
189,2021-12-28,Pixelophone_XL,Pixel,395.0
190,2021-12-29,Pixelophone_XL,Pixel,378.0
191,2021-12-30,Pixelophone_XL,Pixel,298.0
192,2021-12-31,Pixelophone_XL,Pixel,430.0
193,2022-01-01,Pixelophone_XL,Pixel,384.0
194,2022-01-02,Pixelophone_XL,Pixel,460.0
195,2022-01-03,Pixelophone_XL,Pixel,469.0
196,2022-01-04,Pixelophone_XL,Pixel,574.0
197,2022-01-05,Pixelophone_XL,Pixel,518.0
198,2022-01-06,Pixelophone_XL,Pixel,395.0
199,2022-01-07,Pixelophone_XL,Pixel,410.0
200,2022-01-08,Pixelophone_XL,Pixel,516.0
201,2022-01-09,Pixelophone_XL,Pixel,487.0
202,2022-01-10,Pixelophone_XL,Pixel,492.0
203,2022-01-11,Pixelophone_XL,Pixel,328.0
204,2022-01-12,Pixelophone_XL,Pixel,452.0
205,2022-01-13,Pixelophone_XL,Pixel,404.0
206,2022-01-14,Pixelophone_XL,Pixel,486.0
207,2022-01-15,Pixelophone_XL,Pixel,462.0
208,2022-01-16,Pixelophone_XL,Pixel,543.0
209,2022-01-17,Pixelophone_XL,Pixel,504.0
210,2022-01-18,Pixelophone_XL,Pixel,544.0
211,2022-01-19,Pixelophone_XL,Pixel,456.0
212,2022-01-20,Pixelophone_XL,Pixel,425.0
213,2022-01-21,Pixelophone_XL,Pixel,470.0
214,2022-01-22,Pixelophone_XL,Pixel,505.0
215,2022-01-23,Pixelophone_XL,Pixel,540.0
216,2022-01-24,Pixelophone_XL,Pixel,686.0
217,2022-01-25,Pixelophone_XL,Pixel,519.0
218,2022-01-26,Pixelophone_XL,Pixel,456.0
219,2022-01-27,Pixelophone_XL,Pixel,507.0
220,2022-01-28,Pixelophone_XL,Pixel,503.0
221,2022-01-29,Pixelophone_XL,Pixel,579.0
222,2022-01-30,Pixelophone_XL,Pixel,433.0
223,2022-01-31,Pixelophone_XL,Pixel,558.0
224,2022-02-01,Pixelophone_XL,Pixel,380.0
225,2022-02-02,Pixelophone_XL,Pixel,388.0
226,2022-02-03,Pixelophone_XL,Pixel,350.0
227,2022-02-04,Pixelophone_XL,Pixel,371.0
228,2022-02-05,Pixelophone_XL,Pixel,315.0
229,2022-02-06,Pixelophone_XL,Pixel,365.0
230,2022-02-07,Pixelophone_XL,Pixel,366.0
231,2022-02-08,Pixelophone_XL,Pixel,418.0
232,2022-02-09,Pixelophone_XL,Pixel,343.0
233,2022-02-10,Pixelophone_XL,Pixel,443.0
234,2022-02-11,Pixelophone_XL,Pixel,482.0
235,2022-02-12,Pixelophone_XL,Pixel,308.0
236,2022-02-13,Pixelophone_XL,Pixel,436.0
237,2022-02-14,Pixelophone_XL,Pixel,452.0
238,2022-02-15,Pixelophone_XL,Pixel,390.0
239,2022-02-16,Pixelophone_XL,Pixel,405.0
240,2022-02-17,Pixelophone_XL,Pixel,422.0
241,2022-02-18,Pixelophone_XL,Pixel,417.0
242,2022-02-19,Pixelophone_XL,Pixel,420.0
243,2022-02-20,Pixelophone_XL,Pixel,355.0
244,2022-02-21,Pixelophone_XL,Pixel,500.0
245,2022-02-22,Pixelophone_XL,Pixel,500.0
246,2022-02-23,Pixelophone_XL,Pixel,409.0
247,2022-02-24,Pixelophone_XL,Pixel,380.0
248,2022-02-25,Pixelophone_XL,Pixel,483.0
249,2022-02-26,Pixelophone_XL,Pixel,431.0
250,2022-02-27,Pixelophone_XL,Pixel,471.0
251,2022-02-28,Pixelophone_XL,Pixel,451.0
252,2022-03-01,Pixelophone_XL,Pixel,505.0
253,2022-03-02,Pixelophone_XL,Pixel,509.0
254,2022-03-03,Pixelophone_XL,Pixel,441.0
255,2022-03-04,Pixelophone_XL,Pixel,412.0
256,2022-03-05,Pixelophone_XL,Pixel,405.0
257,2022-03-06,Pixelophone_XL,Pixel,518.0
258,2022-03-07,Pixelophone_XL,Pixel,432.0
259,2022-03-08,Pixelophone_XL,Pixel,470.0
260,2022-03-09,Pixelophone_XL,Pixel,469.0
261,2022-03-10,Pixelophone_XL,Pixel,499.0
262,2022-03-11,Pixelophone_XL,Pixel,409.0
263,2022-03-12,Pixelophone_XL,Pixel,518.0
264,2022-03-13,Pixelophone_XL,Pixel,539.0
265,2022-03-14,Pixelophone_XL,Pixel,520.0
266,2022-03-15,Pixelophone_XL,Pixel,504.0
267,2022-03-16,Pixelophone_XL,Pixel,528.0
268,2022-03-17,Pixelophone_XL,Pixel,546.0
269,2022-03-18,Pixelophone_XL,Pixel,391.0
270,2022-03-19,Pixelophone_XL,Pixel,631.0
271,2022-03-20,Pixelophone_XL,Pixel,556.0
272,2022-03-21,Pixelophone_XL,Pixel,508.0
273,2022-03-22,Pixelophone_XL,Pixel,524.0
274,2022-03-23,Pixelophone_XL,Pixel,572.0
275,2022-03-24,Pixelophone_XL,Pixel,545.0
276,2022-03-25,Pixelophone_XL,Pixel,453.0
277,2022-03-26,Pixelophone_XL,Pixel,661.0
278,2022-03-27,Pixelophone_XL,Pixel,556.0
279,2022-03-28,Pixelophone_XL,Pixel,616.0
280,2022-03-29,Pixelophone_XL,Pixel,534.0
281,2022-03-30,Pixelophone_XL,Pixel,649.0
282,2022-03-31,Pixelophone_XL,Pixel,590.0
283,2022-04-01,Pixelophone_XL,Pixel,609.0
284,2022-04-02,Pixelophone_XL,Pixel,530.0
285,2022-04-03,Pixelophone_XL,Pixel,646.0
286,2022-04-04,Pixelophone_XL,Pixel,624.0
287,2022-04-05,Pixelophone_XL,Pixel,658.0
288,2022-04-06,Pixelophone_XL,Pixel,565.0
289,2022-04-07,Pixelophone_XL,Pixel,576.0
290,2022-04-08,Pixelophone_XL,Pixel,718.0
291,2022-04-09,Pixelophone_XL,Pixel,554.0
292,2022-04-10,Pixelophone_XL,Pixel,603.0
293,2022-04-11,Pixelophone_XL,Pixel,671.0
294,2022-04-12,Pixelophone_XL,Pixel,622.0
295,2022-04-13,Pixelophone_XL,Pixel,650.0
296,2022-04-14,Pixelophone_XL,Pixel,604.0
297,2022-04-15,Pixelophone_XL,Pixel,646.0
298,2022-04-16,Pixelophone_XL,Pixel,566.0
299,2022-04-17,Pixelophone_XL,Pixel,718.0
300,2022-04-18,Pixelophone_XL,Pixel,632.0
301,2022-04-19,Pixelophone_XL,Pixel,608.0
302,2022-04-20,Pixelophone_XL,Pixel,679.0
303,2022-04-21,Pixelophone_XL,Pixel,626.0
304,2022-04-22,Pixelophone_XL,Pixel,585.0
305,2022-04-23,Pixelophone_XL,Pixel,588.0
306,2022-04-24,Pixelophone_XL,Pixel,694.0
307,2022-04-25,Pixelophone_XL,Pixel,655.0
308,2022-04-26,Pixelophone_XL,Pixel,659.0
309,2022-04-27,Pixelophone_XL,Pixel,724.0
310,2022-04-28,Pixelophone_XL,Pixel,617.0
311,2022-04-29,Pixelophone_XL,Pixel,640.0
312,2022-04-30,Pixelophone_XL,Pixel,661.0
313,2022-05-01,Pixelophone_XL,Pixel,688.0
314,2022-05-02,Pixelophone_XL,Pixel,685.0
315,2022-05-03,Pixelophone_XL,Pixel,676.0
316,2022-05-04,Pixelophone_XL,Pixel,691.0
317,2022-05-05,Pixelophone_XL,Pixel,692.0
318,2022-05-06,Pixelophone_XL,Pixel,665.0
319,2022-05-07,Pixelophone_XL,Pixel,664.0
320,2022-05-08,Pixelophone_XL,Pixel,722.0
321,2022-05-09,Pixelophone_XL,Pixel,667.0
322,2022-05-10,Pixelophone_XL,Pixel,657.0
323,2022-05-11,Pixelophone_XL,Pixel,703.0
324,2022-05-12,Pixelophone_XL,Pixel,714.0
325,2022-05-13,Pixelophone_XL,Pixel,838.0
326,2022-05-14,Pixelophone_XL,Pixel,694.0
327,2022-05-15,Pixelophone_XL,Pixel,780.0
328,2022-05-16,Pixelophone_XL,Pixel,773.0
329,2022-05-17,Pixelophone_XL,Pixel,680.0
330,2022-05-18,Pixelophone_XL,Pixel,782.0
331,2022-05-19,Pixelophone_XL,Pixel,687.0
332,2022-05-20,Pixelophone_XL,Pixel,617.0
