"","person","time","urge","dep","urge_c","dep_c","urge_cb","urge_cw","dep_cb","dep_cw","urge1","urge_cw1"
"1",1,1,0.338045,0.430776,0.3300336764,0.4178429662,-0.3070435836,0.63707726,-0.1891985938,0.60704156,NA,NA
"2",1,2,-0.47816,-0.68128,-0.4861713236,-0.6942130338,-0.3070435836,-0.17912774,-0.1891985938,-0.50501444,0.338045,0.63707726
"3",1,3,-4.437779,-1.490989,-4.4457903236,-1.5039220338,-0.3070435836,-4.13874674,-0.1891985938,-1.31472344,-0.47816,-0.17912774
"4",1,4,-4.188293,-0.736173,-4.1963043236,-0.7491060338,-0.3070435836,-3.88926074,-0.1891985938,-0.55990744,-4.437779,-4.13874674
"5",1,5,-0.911973,-0.520763,-0.9199843236,-0.5336960338,-0.3070435836,-0.61294074,-0.1891985938,-0.34449744,-4.188293,-3.88926074
"6",1,6,1.154772,0.261171,1.1467606764,0.2482379662,-0.3070435836,1.45380426,-0.1891985938,0.43743656,-0.911973,-0.61294074
"7",1,7,1.517997,0.475321,1.5099856764,0.4623879662,-0.3070435836,1.81702926,-0.1891985938,0.65158656,1.154772,1.45380426
"8",1,8,1.760485,0.39781,1.7524736764,0.3848769662,-0.3070435836,2.05951726,-0.1891985938,0.57407556,1.517997,1.81702926
"9",1,9,0.143089,0.180489,0.1350776764,0.1675559662,-0.3070435836,0.44212126,-0.1891985938,0.35675456,1.760485,2.05951726
"10",1,10,-0.902197,-0.502614,-0.9102083236,-0.5155470338,-0.3070435836,-0.60316474,-0.1891985938,-0.32634844,0.143089,0.44212126
"11",1,11,-0.640742,-0.61963,-0.6487533236,-0.6325630338,-0.3070435836,-0.34170974,-0.1891985938,-0.44336444,-0.902197,-0.60316474
"12",1,12,-0.310626,0.085112,-0.3186373236,0.0721789662,-0.3070435836,-0.0115937400000001,-0.1891985938,0.26137756,-0.640742,-0.34170974
"13",1,13,0.06208,-1.069333,0.0540686764,-1.0822660338,-0.3070435836,0.36111226,-0.1891985938,-0.89306744,-0.310626,-0.0115937400000001
"14",1,14,-0.607979,0.550518,-0.6159903236,0.5375849662,-0.3070435836,-0.30894674,-0.1891985938,0.72678356,0.06208,0.36111226
