"","Country","World.region","Nutrition","Child.mortality","Years.of.schooling","School.attendance","survey","year","item","response","id","item_n","item_t","response.01"
"1.1","Armenia","Europe and Central Asia",6.1039824038744,0.2487204503268,0.274606794118881,1.40990512445569,"DHS","2015-2016",1,0.0272242929786444,1,"Cooking fuel","x1",0.031952050048858
"1.2","Armenia","Europe and Central Asia",6.1039824038744,0.2487204503268,0.274606794118881,1.40990512445569,"DHS","2015-2016",2,0.234626576304436,1,"Sanitation","x2",0.234626576304436
"1.3","Armenia","Europe and Central Asia",6.1039824038744,0.2487204503268,0.274606794118881,1.40990512445569,"DHS","2015-2016",3,0.0212025418877602,1,"Drinking water","x3",0.0212025418877602
"1.4","Armenia","Europe and Central Asia",6.1039824038744,0.2487204503268,0.274606794118881,1.40990512445569,"DHS","2015-2016",4,0.000400928693125024,1,"Electricity","x4",0.00539691940619377
"1.5","Armenia","Europe and Central Asia",6.1039824038744,0.2487204503268,0.274606794118881,1.40990512445569,"DHS","2015-2016",5,0.071965828537941,1,"Housing","x5",0.071965828537941
"1.6","Armenia","Europe and Central Asia",6.1039824038744,0.2487204503268,0.274606794118881,1.40990512445569,"DHS","2015-2016",6,0.00327493203803897,1,"Assets","x6",0.00327493203803897
"2.1","Ukraine","Europe and Central Asia",NA,0.148008577525616,1.21056893840432,0.214071059599519,"MICS","2012",1,0.050719615072012,2,"Cooking fuel","x1",0.0552124189212919
"2.2","Ukraine","Europe and Central Asia",NA,0.148008577525616,1.21056893840432,0.214071059599519,"MICS","2012",2,0.0233012847602367,2,"Sanitation","x2",0.0233012847602367
"2.3","Ukraine","Europe and Central Asia",NA,0.148008577525616,1.21056893840432,0.214071059599519,"MICS","2012",3,0.0249262675642967,2,"Drinking water","x3",0.0249262675642967
"2.4","Ukraine","Europe and Central Asia",NA,0.148008577525616,1.21056893840432,0.214071059599519,"MICS","2012",4,0.000785840791650116,2,"Electricity","x4",0.00577798238373362
"2.5","Ukraine","Europe and Central Asia",NA,0.148008577525616,1.21056893840432,0.214071059599519,"MICS","2012",5,0.0394743569195271,2,"Housing","x5",0.0394743569195271
"2.6","Ukraine","Europe and Central Asia",NA,0.148008577525616,1.21056893840432,0.214071059599519,"MICS","2012",6,0.00293941400013864,2,"Assets","x6",0.00293941400013864
"3.1","Serbia","Europe and Central Asia",1.25720892101526,1.45601145923138,2.62957084923983,0.686822505667806,"MICS","2014",1,0.343511641025543,3,"Cooking fuel","x1",0.345076524615288
"3.2","Serbia","Europe and Central Asia",1.25720892101526,1.45601145923138,2.62957084923983,0.686822505667806,"MICS","2014",2,0.0306468140333891,3,"Sanitation","x2",0.0306468140333891
"3.3","Serbia","Europe and Central Asia",1.25720892101526,1.45601145923138,2.62957084923983,0.686822505667806,"MICS","2014",3,0.0212376769632101,3,"Drinking water","x3",0.0212376769632101
"3.4","Serbia","Europe and Central Asia",1.25720892101526,1.45601145923138,2.62957084923983,0.686822505667806,"MICS","2014",4,0.00268706493079662,3,"Electricity","x4",0.00766019428148865
"3.5","Serbia","Europe and Central Asia",1.25720892101526,1.45601145923138,2.62957084923983,0.686822505667806,"MICS","2014",5,0.0235980115830898,3,"Housing","x5",0.0235980115830898
"3.6","Serbia","Europe and Central Asia",1.25720892101526,1.45601145923138,2.62957084923983,0.686822505667806,"MICS","2014",6,0.0028091324493289,3,"Assets","x6",0.0028091324493289
